load,parallelization_strategy,frequency,request_type,energy
1.0,TP8,800,ML,150.17684210526318
1.5,TP8,800,ML,150.9509253731343
2.0,TP8,800,ML,152.16832786885246
2.5,TP8,800,ML,153.02081720430107
3.0,TP8,800,ML,154.53402544529263
0.5,TP8,1000,ML,162.65673282442748
1.0,TP8,1000,ML,163.05717482517483
1.5,TP8,1000,ML,164.53527516778524
2.0,TP8,1000,ML,165.21125382262997
2.5,TP8,1000,ML,166.39245783132532
3.0,TP8,1000,ML,166.77996561604584
0.5,TP8,1200,ML,180.0004315352697
1.0,TP8,1200,ML,181.0662424242424
1.5,TP8,1200,ML,180.78605054151623
2.0,TP8,1200,ML,184.34697674418607
2.5,TP8,1200,ML,183.51249032258065
3.0,TP8,1200,ML,185.30995692307692
0.5,TP8,1400,ML,211.65170305676855
1.0,TP8,1400,ML,211.76561568627451
1.5,TP8,1400,ML,213.5640909090909
2.0,TP8,1400,ML,216.44875
2.5,TP8,1400,ML,215.21325252525253
3.0,TP8,1400,ML,217.89968831168832
0.5,TP8,1600,ML,246.18615246636773
1.0,TP8,1600,ML,245.54268273092367
1.5,TP8,1600,ML,245.89609375
2.0,TP8,1600,ML,249.18201418439713
2.5,TP8,1600,ML,249.9023888888889
3.0,TP8,1600,ML,250.61273684210525
0.5,TP8,1800,ML,265.9411402714932
1.0,TP8,1800,ML,267.82811522633745
1.5,TP8,1800,ML,270.3177952755906
2.0,TP8,1800,ML,273.0652616487455
2.5,TP8,1800,ML,275.63735211267607
3.0,TP8,1800,ML,276.06667558528426
0.5,TP8,1980,ML,272.33449541284403
1.0,TP8,1980,ML,273.13188477366253
1.5,TP8,1980,ML,273.6681587301587
2.0,TP8,1980,ML,277.67375182481754
2.5,TP8,1980,ML,278.31974377224196
3.0,TP8,1980,ML,281.1547382550335
0.5,TP8,800,LS,122.52537600000001
1.0,TP8,800,LS,150.01509219858156
1.5,TP8,800,LS,181.88364137931035
2.0,TP8,800,LS,216.71838095238095
0.5,TP8,1000,LS,122.03882926829269
1.0,TP8,1000,LS,153.11336170212766
1.5,TP8,1000,LS,179.45077777777777
2.0,TP8,1000,LS,226.29246153846157
0.5,TP8,1200,LS,130.29378861788618
1.0,TP8,1200,LS,170.4176
1.5,TP8,1200,LS,188.0643916083916
2.0,TP8,1200,LS,241.56405263157893
0.5,TP8,1400,LS,150.26380327868853
1.0,TP8,1400,LS,184.4139856115108
1.5,TP8,1400,LS,220.06185915492958
2.0,TP8,1400,LS,286.10496
0.5,TP8,1600,LS,167.03378512396694
1.0,TP8,1600,LS,204.80720567375886
1.5,TP8,1600,LS,246.57628169014086
2.0,TP8,1600,LS,317.55886486486486
0.5,TP8,1800,LS,177.58459504132233
1.0,TP8,1800,LS,217.27805714285714
1.5,TP8,1800,LS,256.0348169014085
2.0,TP8,1800,LS,337.15621917808215
0.5,TP8,1980,LS,180.41888524590163
1.0,TP8,1980,LS,219.8273714285714
1.5,TP8,1980,LS,262.2553802816902
2.0,TP8,1980,LS,336.44059863945574
0.5,TP8,800,LM,122.617216
1.0,TP8,800,LM,150.9988085106383
1.5,TP8,800,LM,180.54624657534248
2.0,TP8,800,LM,214.68254117647058
0.5,TP8,1000,LM,122.06631404958677
1.0,TP8,1000,LM,152.3950144927536
1.5,TP8,1000,LM,178.36627777777778
2.0,TP8,1000,LM,225.98668354430382
0.5,TP8,1200,LM,128.69401652892563
1.0,TP8,1200,LM,161.14325714285715
1.5,TP8,1200,LM,195.33081690140844
2.0,TP8,1200,LM,241.64405263157894
0.5,TP8,1400,LM,149.57226229508197
1.0,TP8,1400,LM,184.78921985815603
1.5,TP8,1400,LM,222.7158581560284
2.0,TP8,1400,LM,285.1967785234899
0.5,TP8,1600,LM,167.7752131147541
1.0,TP8,1600,LM,205.6765142857143
1.5,TP8,1600,LM,245.5354929577465
2.0,TP8,1600,LM,319.03853061224487
0.5,TP8,1800,LM,179.76700826446282
1.0,TP8,1800,LM,221.16284057971012
1.5,TP8,1800,LM,260.83932867132864
2.0,TP8,1800,LM,336.0622585034014
0.5,TP8,1980,LM,177.64978512396695
1.0,TP8,1980,LM,219.00591304347824
1.5,TP8,1980,LM,260.9571111111111
2.0,TP8,1980,LM,336.86225850340134
0.5,TP8,800,LL,123.80710400000001
1.0,TP8,800,LL,149.3189142857143
1.5,TP8,800,LL,180.03923287671233
0.5,TP8,1000,LL,122.3817520661157
1.0,TP8,1000,LL,152.6433475177305
1.5,TP8,1000,LL,178.98662937062937
0.5,TP8,1200,LL,130.84386885245902
1.0,TP8,1200,LL,164.6965179856115
1.5,TP8,1200,LL,191.13096503496502
0.5,TP8,1400,LL,148.35573333333332
1.0,TP8,1400,LL,185.92834782608696
1.5,TP8,1400,LL,220.25712676056338
0.5,TP8,1600,LL,164.45480991735536
1.0,TP8,1600,LL,206.67445714285714
1.5,TP8,1600,LL,245.17628169014083
0.5,TP8,1800,LL,179.24561983471077
1.0,TP8,1800,LL,217.34468571428573
1.5,TP8,1800,LL,261.642985915493
0.5,TP8,1980,LL,179.96264462809916
1.0,TP8,1980,LL,218.25369784172662
1.5,TP8,1980,LL,258.6659020979021
0.5,TP4,800,SS,87.02365137614679
1.0,TP4,800,SS,90.85227906976745
1.5,TP4,800,SS,91.6897399103139
2.0,TP4,800,SS,93.13507423580786
2.5,TP4,800,SS,94.75319266055045
3.0,TP4,800,SS,95.51155172413793
3.5,TP4,800,SS,97.0552554112554
4.0,TP4,800,SS,99.55775862068967
4.5,TP4,800,SS,97.8832531120332
5.0,TP4,800,SS,98.55899588477367
5.5,TP4,800,SS,99.96417316017315
6.0,TP4,800,SS,100.70656790123456
6.5,TP4,800,SS,101.38917829457364
7.0,TP4,800,SS,103.07893548387098
0.5,TP4,1000,SS,90.25311320754717
1.0,TP4,1000,SS,97.78727272727274
1.5,TP4,1000,SS,100.14066055045872
2.0,TP4,1000,SS,101.76710313901344
2.5,TP4,1000,SS,101.97585046728972
3.0,TP4,1000,SS,103.58760360360361
3.5,TP4,1000,SS,107.52732110091742
4.0,TP4,1000,SS,106.87636842105263
4.5,TP4,1000,SS,107.97059130434783
5.0,TP4,1000,SS,109.19833043478262
5.5,TP4,1000,SS,109.59746428571428
6.0,TP4,1000,SS,109.40786026200874
6.5,TP4,1000,SS,110.5733164556962
7.0,TP4,1000,SS,111.10706493506494
0.5,TP4,1200,SS,94.72135885167464
1.0,TP4,1200,SS,106.26541176470589
1.5,TP4,1200,SS,110.49055924170617
2.0,TP4,1200,SS,110.07198181818181
2.5,TP4,1200,SS,113.61534299516909
3.0,TP4,1200,SS,113.28480733944954
3.5,TP4,1200,SS,115.89220657276995
4.0,TP4,1200,SS,115.86354128440367
4.5,TP4,1200,SS,117.53833628318584
5.0,TP4,1200,SS,117.95391071428571
5.5,TP4,1200,SS,120.33275576036866
6.0,TP4,1200,SS,117.94357142857143
6.5,TP4,1200,SS,119.93963318777293
7.0,TP4,1200,SS,119.05230493273542
0.5,TP4,1400,SS,108.22126829268294
1.0,TP4,1400,SS,122.08714851485148
1.5,TP4,1400,SS,130.7696380952381
2.0,TP4,1400,SS,131.10353271028038
2.5,TP4,1400,SS,131.3753623188406
3.0,TP4,1400,SS,133.3320372093023
3.5,TP4,1400,SS,135.20857943925233
4.0,TP4,1400,SS,136.19941552511415
4.5,TP4,1400,SS,139.75366816143497
5.0,TP4,1400,SS,140.36189285714286
5.5,TP4,1400,SS,142.7697962962963
6.0,TP4,1400,SS,143.90380090497737
6.5,TP4,1400,SS,144.67913656387663
7.0,TP4,1400,SS,144.09468493150686
0.5,TP4,1600,SS,124.73720792079209
1.0,TP4,1600,SS,140.18266009852218
1.5,TP4,1600,SS,148.85457819905213
2.0,TP4,1600,SS,152.17416822429908
2.5,TP4,1600,SS,155.6406108374384
3.0,TP4,1600,SS,156.54452093023255
3.5,TP4,1600,SS,158.14009478672983
4.0,TP4,1600,SS,159.93942857142858
4.5,TP4,1600,SS,160.84652252252252
5.0,TP4,1600,SS,163.77562331838564
5.5,TP4,1600,SS,165.38888888888889
6.0,TP4,1600,SS,167.7922909090909
6.5,TP4,1600,SS,171.3546311111111
7.0,TP4,1600,SS,169.0787281105991
0.5,TP4,1800,SS,132.25477669902912
1.0,TP4,1800,SS,151.97355223880598
1.5,TP4,1800,SS,163.4456842105263
2.0,TP4,1800,SS,165.22457407407407
2.5,TP4,1800,SS,170.12197044334977
3.0,TP4,1800,SS,172.08245283018869
3.5,TP4,1800,SS,172.24565258215964
4.0,TP4,1800,SS,176.76785185185184
4.5,TP4,1800,SS,178.62583636363638
5.0,TP4,1800,SS,179.83107692307692
5.5,TP4,1800,SS,180.27705069124426
6.0,TP4,1800,SS,184.70702304147466
6.5,TP4,1800,SS,187.5986488888889
7.0,TP4,1800,SS,186.16307407407407
0.5,TP4,1980,SS,133.77364705882354
1.0,TP4,1980,SS,154.84120603015077
1.5,TP4,1980,SS,165.92267942583732
