load,parallelization_strategy,frequency,request_type,performance
3.5,TP8,1600,MS,0.163438777923584
0.5,TP8,1800,MS,0.1363276314735413
1.0,TP8,1800,MS,0.13171176910400395
1.5,TP8,1800,MS,0.14288598537445069
2.0,TP8,1800,MS,0.1391770362854004
2.5,TP8,1800,MS,0.17915045261383056
3.0,TP8,1800,MS,0.1521411800384521
3.5,TP8,1800,MS,0.16129216194152832
0.5,TP8,1980,MS,0.13405854225158695
1.0,TP8,1980,MS,0.12907700538635258
1.5,TP8,1980,MS,0.1361840057373047
2.0,TP8,1980,MS,0.14057769775390624
2.5,TP8,1980,MS,0.1446464204788208
3.0,TP8,1980,MS,0.15805866718292233
3.5,TP8,1980,MS,0.14618411064147951
0.5,TP8,800,MM,0.2451677131652832
1.0,TP8,800,MM,0.2430434226989746
1.5,TP8,800,MM,0.2708968877792357
2.0,TP8,800,MM,0.33890824317932133
2.5,TP8,800,MM,0.3454428648948669
3.0,TP8,800,MM,0.416377990245819
3.5,TP8,800,MM,0.42770373344421386
0.5,TP8,1000,MM,0.20893294811248783
1.0,TP8,1000,MM,0.2144331455230713
1.5,TP8,1000,MM,0.21731189250946045
2.0,TP8,1000,MM,0.23414673805236821
2.5,TP8,1000,MM,0.24387912750244137
3.0,TP8,1000,MM,0.2727666020393371
3.5,TP8,1000,MM,0.2904652118682861
0.5,TP8,1200,MM,0.1648200845718384
1.0,TP8,1200,MM,0.16082916259765626
1.5,TP8,1200,MM,0.17531293392181396
2.0,TP8,1200,MM,0.1862943172454834
2.5,TP8,1200,MM,0.24312368869781492
3.0,TP8,1200,MM,0.2271878290176391
3.5,TP8,1200,MM,0.23355015754699707
0.5,TP8,1400,MM,0.1555340957641602
1.0,TP8,1400,MM,0.15206851959228518
1.5,TP8,1400,MM,0.16274583339691162
2.0,TP8,1400,MM,0.16035656929016112
2.5,TP8,1400,MM,0.1710654807090759
3.0,TP8,1400,MM,0.17329730510711663
3.5,TP8,1400,MM,0.20401535034179688
0.5,TP8,1600,MM,0.13263575077056886
1.0,TP8,1600,MM,0.1320518970489502
1.5,TP8,1600,MM,0.14643383502960203
2.0,TP8,1600,MM,0.1484675407409668
2.5,TP8,1600,MM,0.15619757413864133
3.0,TP8,1600,MM,0.15603442430496212
3.5,TP8,1600,MM,0.1687687397003174
0.5,TP8,1800,MM,0.1367260336875916
1.0,TP8,1800,MM,0.12948122024536132
1.5,TP8,1800,MM,0.13957847595214842
2.0,TP8,1800,MM,0.1429835796356201
2.5,TP8,1800,MM,0.1491526436805725
3.0,TP8,1800,MM,0.1518250894546508
3.5,TP8,1800,MM,0.15732829093933107
0.5,TP8,1980,MM,0.12516705751419066
1.0,TP8,1980,MM,0.12451505661010742
1.5,TP8,1980,MM,0.13684236526489257
2.0,TP8,1980,MM,0.13778104782104492
2.5,TP8,1980,MM,0.14588863611221312
3.0,TP8,1980,MM,0.14656896829605098
3.5,TP8,1980,MM,0.14519348144531252
0.5,TP8,800,ML,0.24934451580047606
1.0,TP8,800,ML,0.2443793773651123
1.5,TP8,800,ML,0.2728261995315551
2.0,TP8,800,ML,0.3396111488342286
2.5,TP8,800,ML,0.3208452033996582
3.0,TP8,800,ML,0.3947290539741515
0.5,TP8,1000,ML,0.20950470447540287
1.0,TP8,1000,ML,0.20175843238830568
1.5,TP8,1000,ML,0.21448121070861814
2.0,TP8,1000,ML,0.2303578853607178
2.5,TP8,1000,ML,0.27350216150283807
3.0,TP8,1000,ML,0.26617297410964963
0.5,TP8,1200,ML,0.17627562284469608
1.0,TP8,1200,ML,0.17954192161560062
1.5,TP8,1200,ML,0.18234503269195554
2.0,TP8,1200,ML,0.19456863403320315
2.5,TP8,1200,ML,0.20211213588714594
3.0,TP8,1200,ML,0.21893119335174557
0.5,TP8,1400,ML,0.15342295408248902
1.0,TP8,1400,ML,0.1527037620544434
1.5,TP8,1400,ML,0.16363428592681883
2.0,TP8,1400,ML,0.1638254165649414
2.5,TP8,1400,ML,0.16895888090133665
3.0,TP8,1400,ML,0.18437119483947753
0.5,TP8,1600,ML,0.14013878583908085
1.0,TP8,1600,ML,0.1306117057800293
1.5,TP8,1600,ML,0.14823691844940184
2.0,TP8,1600,ML,0.15043215751647948
2.5,TP8,1600,ML,0.18453160047531117
3.0,TP8,1600,ML,0.16491909265518181
0.5,TP8,1800,ML,0.13161905765533446
1.0,TP8,1800,ML,0.124049711227417
1.5,TP8,1800,ML,0.14033201694488523
2.0,TP8,1800,ML,0.1459536075592041
2.5,TP8,1800,ML,0.14928625106811522
3.0,TP8,1800,ML,0.15315414667129512
0.5,TP8,1980,ML,0.1362193274497986
1.0,TP8,1980,ML,0.13488807678222656
1.5,TP8,1980,ML,0.14040290355682372
2.0,TP8,1980,ML,0.14188771247863768
2.5,TP8,1980,ML,0.1458359384536743
3.0,TP8,1980,ML,0.1465535235404968
0.5,TP8,800,LS,0.9559907078742982
1.0,TP8,800,LS,1.2315601825714113
1.5,TP8,800,LS,1.6696878671646114
2.0,TP8,800,LS,2.4741692066192633
0.5,TP8,1000,LS,0.7373304176330567
1.0,TP8,1000,LS,0.8775197505950928
1.5,TP8,1000,LS,1.1228035640716552
2.0,TP8,1000,LS,1.4973221302032476
0.5,TP8,1200,LS,0.6726306056976319
1.0,TP8,1200,LS,0.7126306056976319
1.5,TP8,1200,LS,0.8791965341567991
2.0,TP8,1200,LS,1.0367116928100586
0.5,TP8,1400,LS,0.5039123034477234
1.0,TP8,1400,LS,0.6047467708587647
1.5,TP8,1400,LS,0.7172060441970823
2.0,TP8,1400,LS,0.8549830436706544
0.5,TP8,1600,LS,0.47730695724487304
1.0,TP8,1600,LS,0.5717379570007325
1.5,TP8,1600,LS,0.6640759944915771
2.0,TP8,1600,LS,0.7947768211364746
0.5,TP8,1800,LS,0.46329841852188114
1.0,TP8,1800,LS,0.5522543907165528
1.5,TP8,1800,LS,0.6364522075653075
2.0,TP8,1800,LS,0.7647144317626954
0.5,TP8,1980,LS,0.4610336017608643
1.0,TP8,1980,LS,0.5507328510284425
1.5,TP8,1980,LS,0.6313338994979858
2.0,TP8,1980,LS,0.7517473697662355
0.5,TP8,800,LM,0.9573619031906129
1.0,TP8,800,LM,1.318087673187256
1.5,TP8,800,LM,1.6697915935516352
2.0,TP8,800,LM,2.4742771148681646
0.5,TP8,1000,LM,0.7372153902053833
1.0,TP8,1000,LM,0.87259521484375
1.5,TP8,1000,LM,1.1243792486190796
2.0,TP8,1000,LM,1.5012648105621342
0.5,TP8,1200,LM,0.5945973587036133
1.0,TP8,1200,LM,0.7089601993560791
1.5,TP8,1200,LM,0.8786309480667112
2.0,TP8,1200,LM,1.038090705871582
0.5,TP8,1400,LM,0.5026003599166871
1.0,TP8,1400,LM,0.69418363571167
1.5,TP8,1400,LM,0.7132282495498655
2.0,TP8,1400,LM,0.8507405757904053
0.5,TP8,1600,LM,0.47835755825042725
1.0,TP8,1600,LM,0.5716303348541261
1.5,TP8,1600,LM,0.6626628589630126
2.0,TP8,1600,LM,0.7961272716522217
0.5,TP8,1800,LM,0.46102169036865237
1.0,TP8,1800,LM,0.5572334289550782
1.5,TP8,1800,LM,0.6384277296066283
2.0,TP8,1800,LM,0.7647436141967774
0.5,TP8,1980,LM,0.4596859908103943
1.0,TP8,1980,LM,0.5533540725708008
1.5,TP8,1980,LM,0.6316577196121215
2.0,TP8,1980,LM,0.7552683353424073
0.5,TP8,800,LL,0.9588352084159852
1.0,TP8,800,LL,1.2324853897094727
1.5,TP8,800,LL,1.673861441612243
0.5,TP8,1000,LL,0.739217483997345
1.0,TP8,1000,LL,0.8728263854980469
1.5,TP8,1000,LL,1.121729598045349
0.5,TP8,1200,LL,0.593940920829773
1.0,TP8,1200,LL,0.708641004562378
1.5,TP8,1200,LL,0.8769398403167722
0.5,TP8,1400,LL,0.49908917903900146
1.0,TP8,1400,LL,0.6014938831329346
1.5,TP8,1400,LL,0.7106928491592406
0.5,TP8,1600,LL,0.47862493991851807
1.0,TP8,1600,LL,0.5728490352630616
1.5,TP8,1600,LL,0.664720320701599
0.5,TP8,1800,LL,0.4632751417160034
1.0,TP8,1800,LL,0.5541688919067383
1.5,TP8,1800,LL,0.6368915605545044
0.5,TP8,1980,LL,0.4612965798377991
1.0,TP8,1980,LL,0.5517620563507081
1.5,TP8,1980,LL,0.6355673265457152
0.5,TP4,800,SS,0.28654760360717774
1.0,TP4,800,SS,3.151105546951294
1.5,TP4,800,SS,4.5105055236816405
2.0,TP4,800,SS,2.9007131576538088
2.5,TP4,800,SS,4.759110822677612
3.0,TP4,800,SS,5.733383367061615
3.5,TP4,800,SS,3.239098491668701
4.0,TP4,800,SS,12.26632921218872
4.5,TP4,800,SS,3.4038302254676815
5.0,TP4,800,SS,5.959805135726929
5.5,TP4,800,SS,4.5569410061836235
6.0,TP4,800,SS,11.602546367645264
6.5,TP4,800,SS,8.334538328647614
7.0,TP4,800,SS,3.182944197654724
0.5,TP4,1000,SS,0.143162636756897
1.0,TP4,1000,SS,2.2686394691467284
1.5,TP4,1000,SS,0.3560395622253418
2.0,TP4,1000,SS,1.3648874759674094
2.5,TP4,1000,SS,0.9991362094879127
3.0,TP4,1000,SS,1.2520387601852372
3.5,TP4,1000,SS,1.3985197257995632
4.0,TP4,1000,SS,0.19754825592041003
4.5,TP4,1000,SS,0.21449137687683106
5.0,TP4,1000,SS,0.22262450218200677
5.5,TP4,1000,SS,0.2431162500381469
6.0,TP4,1000,SS,0.26526232719421383
6.5,TP4,1000,SS,0.2960523962974549
7.0,TP4,1000,SS,0.2942268848419188
0.5,TP4,1200,SS,0.1287012577056885
1.0,TP4,1200,SS,0.13287925720214844
1.5,TP4,1200,SS,0.13433983325958251
2.0,TP4,1200,SS,0.1426468372344971
2.5,TP4,1200,SS,0.15455119848251342
3.0,TP4,1200,SS,0.15430644989013667
3.5,TP4,1200,SS,0.1545371723175049
4.0,TP4,1200,SS,0.16379121303558344
4.5,TP4,1200,SS,0.1781457591056823
5.0,TP4,1200,SS,0.18589090347290038
5.5,TP4,1200,SS,0.18814789533615112
6.0,TP4,1200,SS,0.21730969429016114
6.5,TP4,1200,SS,0.31136155128479026
7.0,TP4,1200,SS,0.24496361255645752
0.5,TP4,1400,SS,0.11178372144699099
1.0,TP4,1400,SS,0.11935563087463379
1.5,TP4,1400,SS,0.12246032714843748
2.0,TP4,1400,SS,0.11836442947387696
2.5,TP4,1400,SS,0.16095290660858141
3.0,TP4,1400,SS,0.12835107088088987
3.5,TP4,1400,SS,0.13115894317626955
4.0,TP4,1400,SS,0.2828477430343622
4.5,TP4,1400,SS,0.15150212526321402
5.0,TP4,1400,SS,0.15917734146118154
5.5,TP4,1400,SS,0.1584703493118286
6.0,TP4,1400,SS,0.21749194145202622
6.5,TP4,1400,SS,0.1922144770622254
7.0,TP4,1400,SS,0.19763942956924432
0.5,TP4,1600,SS,0.10135399341583254
1.0,TP4,1600,SS,0.11232762336730957
1.5,TP4,1600,SS,0.1184600830078125
2.0,TP4,1600,SS,0.1135392189025879
2.5,TP4,1600,SS,0.11168815612792969
3.0,TP4,1600,SS,0.12061527252197264
3.5,TP4,1600,SS,0.122248592376709
4.0,TP4,1600,SS,0.5924217319488367
4.5,TP4,1600,SS,0.12249353170394894
5.0,TP4,1600,SS,0.13752412796020502
5.5,TP4,1600,SS,0.1377721738815307
6.0,TP4,1600,SS,0.1687560844421386
6.5,TP4,1600,SS,0.2454320669174196
7.0,TP4,1600,SS,0.1633032250404357
0.5,TP4,1800,SS,0.09740182638168336
1.0,TP4,1800,SS,0.10035982131958009
1.5,TP4,1800,SS,0.0997606611251831
2.0,TP4,1800,SS,0.1045346736907959
2.5,TP4,1800,SS,0.11502909898757935
3.0,TP4,1800,SS,0.10730153560638427
3.5,TP4,1800,SS,0.11939309120178224
4.0,TP4,1800,SS,0.12034227371215805
4.5,TP4,1800,SS,0.20301944971084593
5.0,TP4,1800,SS,0.12142792701721192
5.5,TP4,1800,SS,0.13648993015289304
6.0,TP4,1800,SS,0.15586772441864002
6.5,TP4,1800,SS,0.1460013747215271
7.0,TP4,1800,SS,0.16558640003204342
0.5,TP4,1980,SS,0.09684362173080446
1.0,TP4,1980,SS,0.11044068336486816
1.5,TP4,1980,SS,0.1049706220626831
2.0,TP4,1980,SS,0.11542382240295411
2.5,TP4,1980,SS,0.11286776304244994
3.0,TP4,1980,SS,0.18916866302490232
3.5,TP4,1980,SS,0.11694524765014648
4.0,TP4,1980,SS,0.11837775707244864
4.5,TP4,1980,SS,0.11853196620941162
5.0,TP4,1980,SS,0.12444364547729488
5.5,TP4,1980,SS,0.13828772544860835
6.0,TP4,1980,SS,0.37715146064758287
6.5,TP4,1980,SS,0.15049256086349494
7.0,TP4,1980,SS,0.15054511308670043
